Region,Country/Year,2012,2013,2014,2015,2016,2017,2018 (P),% share in 2018
Africa,Other Northern Africa,25.8,27.8,27.4,24,23.1,24.4,25.4,0.2
Africa,Other Southern Africa,4.2,4.3,4.7,4.8,4.9,5.2,5,^
Africa,Total Africa,399.2,409.7,422.6,430.1,439.4,448.6,461.5,3.3
Asia Pacific,Australia,134.6,135.3,137.5,139.2,142.1,140.5,144.3,1
Asia Pacific,Bangladesh,25,25.5,27,31.3,31.8,33,35.8,0.3
Asia Pacific,China,2799.5,2907.5,2974.7,3009.6,3047.1,3139,3273.5,23.6
Asia Pacific,China Hong Kong SAR,27.2,28,27.3,28.1,28.8,30.9,31.1,0.2
Asia Pacific,India,601,624.5,667.5,689.8,719.3,750.1,809.2,5.8
Asia Pacific,Indonesia,173.4,178.2,167.2,165.7,170.2,176.9,185.5,1.3
Asia Pacific,Japan,475.7,472.3,460.3,453.3,450.8,455.2,454.1,3.3
Asia Pacific,Malaysia,89,93.1,93.6,95.1,96.6,96.7,99.3,0.7
Asia Pacific,New Zealand,20,20.2,21.2,21.4,21.6,22.2,21.7,0.2
Asia Pacific,Pakistan,64.1,64.9,66.9,70.4,76.6,81,85,0.6
Asia Pacific,Philippines,30.9,33.1,34.9,38.3,41.8,45.7,47,0.3
Asia Pacific,Singapore,71.6,73.6,75.8,80.6,83.8,86.5,87.6,0.6
Asia Pacific,South Korea,276.3,276.7,279.5,285.3,292.2,297.1,301,2.2
Asia Pacific,Sri Lanka,6,6.1,5.5,7,7.5,7.8,8.1,0.1
Asia Pacific,Taiwan,109.1,111.1,113.8,112.9,115,117,118.4,0.9
Asia Pacific,Thailand,116.5,118.3,121.6,124.7,127.3,130.2,133,1
Asia Pacific,Vietnam,53.4,57.2,62.6,69.1,73.9,75.8,85.8,0.6
Asia Pacific,Other Asia Pacific,48.3,48.8,52.7,53.9,60.5,62.4,65.4,0.5
Asia Pacific,Total Asia Pacific,5121.6,5274.4,5389.6,5475.7,5587,5748,5985.8,43.2
All World,Total World,12575.5,12819.4,12939.8,13045.6,13228.6,13474.6,13864.9,100
